City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Souris,49.62,-100.26,60.8,55,75,19.46,CA,1601172680
Kavieng,-2.57,150.8,83.35,80,82,11.34,PG,1601172680
Bengkulu,-3.8,102.27,79.92,76,100,6.76,ID,1601172681
Yārāda,17.65,83.27,80.6,100,90,3.36,IN,1601172681
North Shore,-36.8,174.75,68.0,70,0,17.0,NZ,1601172480
Provideniya,64.38,-173.3,37.24,74,58,9.57,RU,1601172681
Saldanha,-33.01,17.94,42.8,87,32,2.24,ZA,1601172682
Naze,28.37,129.48,82.4,65,75,13.87,JP,1601172682
Auch,43.65,0.58,46.0,98,23,1.01,FR,1601172682
Luangwa,-15.62,30.42,70.65,31,0,1.36,ZM,1601172683
Port-Cartier,50.03,-66.87,46.99,81,90,8.05,CA,1601172683
Ekhabi,53.51,142.97,54.88,67,69,15.43,RU,1601172683
Port Shepstone,-30.74,30.45,59.29,48,100,14.14,ZA,1601172683
Cape Town,-33.93,18.42,48.99,87,75,6.93,ZA,1601172683
Florida,28.75,-82.5,77.0,88,1,5.91,US,1601172684
Port Blair,11.67,92.75,83.07,76,100,13.44,IN,1601172684
Russell,32.35,-85.2,75.2,94,40,1.23,US,1601172684
Atar,20.52,-13.05,92.73,20,0,12.53,MR,1601172684
Lompoc,34.64,-120.46,68.0,77,1,12.75,US,1601172685
Sri Aman,1.24,111.46,75.2,94,40,2.24,MY,1601172685
Butaritari,3.07,172.79,82.6,72,100,10.69,KI,1601172685
Molina,-35.12,-71.28,51.8,66,0,6.93,CL,1601172685
Vanimo,-2.67,141.3,87.19,61,97,5.17,PG,1601172685
Hong Kong,22.29,114.16,84.0,82,100,21.81,HK,1601172618
Palmer,42.16,-72.33,64.0,92,4,3.6,US,1601172686
Flin Flon,54.77,-101.86,49.98,79,98,9.31,CA,1601172687
Castro,-24.79,-50.01,65.77,53,0,4.63,BR,1601172687
Soyo,-6.13,12.37,73.47,79,51,7.76,AO,1601172687
Guerrero Negro,27.98,-114.06,70.18,79,0,14.27,MX,1601172687
Te Anau,-45.42,167.72,42.28,76,74,12.53,NZ,1601172688
Leninsk,48.71,45.2,50.0,46,99,13.42,RU,1601172688
Atuona,-9.8,-139.03,78.46,72,2,12.88,PF,1601172398
Hamilton,39.18,-84.53,68.0,88,1,3.36,US,1601172688
Manggar,-2.88,108.27,79.56,74,100,3.06,ID,1601172689
Balvi,57.13,27.27,55.54,80,24,9.01,LV,1601172689
Puerto Ayora,-0.74,-90.35,69.01,87,26,3.0,EC,1601172689
Xishan,27.67,113.5,66.2,100,75,4.47,CN,1601172689
Sittwe,20.15,92.9,82.33,85,59,9.69,MM,1601172602
Mossamedes,-15.2,12.15,61.81,86,66,2.75,AO,1601172690
Algiers,36.75,3.04,62.6,55,0,4.7,DZ,1601172690
Bahía Honda,22.9,-83.16,80.42,84,99,4.32,CU,1601172395
Balkanabat,39.51,54.37,63.7,26,70,12.55,TM,1601172690
Kon Tum,14.35,108.0,80.69,71,90,1.72,VN,1601172451
Chui,-33.7,-53.46,60.42,93,100,11.03,UY,1601172691
Pisco,-13.7,-76.22,64.0,82,0,12.75,PE,1601172691
The Valley,18.22,-63.06,84.2,74,20,9.17,AI,1601172613
Hithadhoo,-0.6,73.08,82.45,66,89,3.09,MV,1601172691
Senneterre,48.38,-77.23,60.8,100,90,6.93,CA,1601172692
Nuuk,64.18,-51.72,35.6,93,75,4.7,GL,1601172692
Lázaro Cárdenas,17.96,-102.2,79.93,82,2,2.71,MX,1601172692
Yellowknife,62.46,-114.35,43.0,93,90,5.82,CA,1601172692
Totoró,2.51,-76.4,48.45,94,98,3.47,CO,1601172692
Ishigaki,24.34,124.16,75.2,100,75,13.87,JP,1601172693
Bermejo,-32.88,-68.8,59.0,54,40,3.36,AR,1601172693
Pevek,69.7,170.31,36.95,89,86,12.35,RU,1601172693
Aykhal,66.0,111.5,32.0,78,90,6.71,RU,1601172443
Tiksi,71.69,128.87,41.95,79,100,5.61,RU,1601172694
Namwala,-15.75,26.44,66.22,29,0,2.42,ZM,1601172694
Pangnirtung,66.15,-65.71,32.4,90,87,3.47,CA,1601172695
Mar del Plata,-38.0,-57.56,54.0,100,90,9.17,AR,1601172695
Bredasdorp,-34.53,20.04,46.4,81,33,11.41,ZA,1601172695
Korla,41.76,86.15,68.0,76,98,5.01,CN,1601172636
Acaraú,-2.89,-40.12,76.75,84,50,15.03,BR,1601172696
Barrow,71.29,-156.79,32.0,96,90,10.29,US,1601172697
Dingle,11.0,122.67,86.23,72,0,1.01,PH,1601172697
Bulawayo,-20.15,28.58,69.46,21,23,10.04,ZW,1601172697
Maïné Soroa,13.21,12.02,84.27,44,54,9.48,NE,1601172697
Al Bardīyah,31.76,25.09,75.34,83,0,13.6,LY,1601172697
Jiuquan,39.74,98.52,58.1,29,97,6.87,CN,1601172450
Baton Rouge,30.45,-91.15,75.2,83,20,4.7,US,1601172698
Vila do Maio,15.13,-23.22,80.6,78,20,2.24,CV,1601172698
Nha Trang,12.25,109.18,78.8,94,75,2.24,VN,1601172533
Cidreira,-30.18,-50.21,64.85,95,100,21.63,BR,1601172698
Vega de Alatorre,20.03,-96.63,80.37,81,100,2.24,MX,1601172699
Jinka,5.65,36.65,64.72,86,97,1.83,ET,1601172699
Bequimão,-2.45,-44.78,78.8,88,80,9.17,BR,1601172699
Kaitangata,-46.28,169.85,46.0,66,69,20.0,NZ,1601172699
Margate,51.38,1.39,53.01,84,100,17.0,GB,1601172700
Marabá,-5.37,-49.12,77.0,88,77,0.83,BR,1601172700
Tromsø,69.65,18.96,35.6,79,20,9.17,NO,1601172700
Kruisfontein,-34.0,24.73,48.99,73,0,1.99,ZA,1601172700
Norman Wells,65.28,-126.83,44.6,70,75,5.82,CA,1601172701
Kastamonu Province,41.5,33.67,58.64,57,0,2.68,TR,1601172701
Umluj,25.02,37.27,82.22,47,0,10.07,SA,1601172701
Colares,38.8,-9.45,66.0,97,44,20.31,PT,1601172701
Huarmey,-10.07,-78.15,61.25,84,26,8.46,PE,1601172702
Nago,26.59,127.98,75.2,78,40,4.7,JP,1601172703
Alice Springs,-23.7,133.88,75.0,15,9,12.75,AU,1601172703
Kemijärvi,66.71,27.43,38.44,95,100,7.67,FI,1601172703
Jalu,29.03,21.55,74.95,69,0,5.35,LY,1601172703
Kaset Sombun,16.28,101.95,84.22,68,97,2.93,TH,1601172704
Esperance,-33.87,121.9,59.0,82,32,10.29,AU,1601172704
Aktau,43.65,51.2,57.2,26,100,15.66,KZ,1601172704
Healdsburg,38.61,-122.87,82.4,39,1,17.22,US,1601172444
Mayo,38.89,-76.51,70.0,100,90,3.36,US,1601172705
Kpandae,8.47,-0.01,73.63,92,98,3.6,GH,1601172521
Sangar,63.92,127.47,45.55,89,100,12.82,RU,1601172549
Beira,-19.84,34.84,69.8,88,0,8.05,MZ,1601172706
Shakawe,-18.37,21.85,65.88,26,0,3.42,BW,1601172706
Avera,33.19,-82.53,68.0,77,1,2.48,US,1601172706
Dalvik,65.97,-18.53,51.8,62,40,9.17,IS,1601172706
Sabha,27.04,14.43,82.15,19,0,7.34,LY,1601172706
Santiago del Estero,-27.8,-64.26,76.01,53,31,20.02,AR,1601172707
São José da Coroa Grande,-8.9,-35.15,74.48,87,75,6.26,BR,1601172707
Kenai,60.55,-151.26,52.0,87,90,6.93,US,1601172707
Buala,-8.14,159.59,86.22,66,25,7.76,SB,1601172708
Shingū,33.73,135.98,78.8,57,20,14.99,JP,1601172708
North Bend,43.41,-124.22,64.99,88,1,5.82,US,1601172708
Binzhou,37.37,118.02,78.01,54,0,1.32,CN,1601172708
Tombouctou,20.0,-3.0,91.89,11,0,4.74,ML,1601172709
Nadīgaon,26.12,79.03,83.59,54,16,8.68,IN,1601172709
Nanortalik,60.14,-45.24,37.96,81,0,11.72,GL,1601172709
Beloha,-25.17,45.05,66.56,84,0,3.29,MG,1601172709
Boké,10.94,-14.3,73.22,95,100,4.0,GN,1601172709
Lata,40.16,-8.33,64.99,91,99,1.99,PT,1601172710
Hasaki,35.73,140.83,70.0,93,75,5.82,JP,1601172710
Laguna,38.42,-121.42,86.0,28,1,9.17,US,1601172710
Mikuni,36.22,136.15,69.8,77,75,3.36,JP,1601172710
Homer,59.64,-151.55,51.8,76,75,8.05,US,1601172711
Lebu,-37.62,-73.65,48.45,90,18,9.06,CL,1601172711
Cartagena,10.4,-75.51,84.2,79,40,4.7,CO,1601172711
Mayor Pablo Lagerenza,-19.93,-60.77,92.8,32,0,14.92,PY,1601172711
Kostino,58.91,53.27,43.09,90,94,3.83,RU,1601172711
Rio Tuba,8.51,117.43,84.56,74,39,11.18,PH,1601172712
Sulangan,11.14,123.72,84.11,75,54,4.74,PH,1601172712
Tingi,-11.3,35.03,61.74,72,6,8.21,TZ,1601172712
Lakes Entrance,-37.88,147.98,57.0,49,2,1.99,AU,1601172712
Baiyin,36.56,104.21,66.0,82,75,2.24,CN,1601172704
Dikson,73.51,80.55,37.69,81,100,22.79,RU,1601172713
Grindavik,63.84,-22.43,44.6,93,40,8.05,IS,1601172713
Taltal,-25.4,-70.48,54.84,76,0,3.71,CL,1601172713
Severo-Kuril'sk,50.68,156.12,51.91,62,99,7.18,RU,1601172713
Biak,-0.91,122.88,84.4,63,100,3.31,ID,1601172714
Kirkland Lake,48.14,-80.04,64.4,88,90,12.75,CA,1601172714
Kaeo,-35.1,173.78,71.01,55,4,15.99,NZ,1601172714
Alihe,50.57,123.72,62.64,70,62,7.23,CN,1601172714
Mungeli,22.07,81.68,77.68,70,80,1.3,IN,1601172715
Saskylakh,71.92,114.08,36.25,83,100,15.55,RU,1601172552
Visby,57.64,18.3,63.0,87,69,10.29,SE,1601172716
Ostrovnoy,68.05,39.51,43.09,82,99,10.74,RU,1601172716
Acapulco de Juárez,16.86,-99.89,82.4,78,75,3.36,MX,1601172682
Cairns,-16.92,145.77,88.0,48,99,5.82,AU,1601172491
Chara,56.91,118.26,46.9,58,23,11.01,RU,1601172716
Cayenne,4.93,-52.33,77.0,94,0,2.24,GF,1601172717
Aklavik,68.22,-135.01,33.8,100,90,9.17,CA,1601172717
La Palma,33.85,-118.05,73.4,73,20,6.93,US,1601172717
San Clemente,33.43,-117.61,69.01,86,3,2.3,US,1601172458
Batemans Bay,-35.72,150.18,61.0,50,0,3.0,AU,1601172718
Banjarmasin,-3.32,114.59,80.6,88,20,2.24,ID,1601172485
Scarborough,54.28,-0.4,50.0,81,100,8.99,GB,1601172710
Quatre Cocos,-20.21,57.76,68.0,88,75,5.82,MU,1601172718
Ossora,59.24,163.07,48.58,64,44,9.33,RU,1601172719
Okhotsk,59.38,143.3,51.76,80,100,10.54,RU,1601172719
Asău,46.43,26.4,53.01,98,22,4.41,RO,1601172719
Soltau,52.98,9.83,53.01,93,75,9.17,DE,1601172719
Champerico,14.3,-91.92,66.99,96,100,10.33,GT,1601172719
Tuktoyaktuk,69.45,-133.04,37.4,93,90,13.87,CA,1601172720
Tandil,-37.32,-59.13,55.99,99,99,3.0,AR,1601172720
Geraldton,-28.77,114.6,68.0,52,90,5.82,AU,1601172679
Atambua,-9.11,124.89,87.31,42,92,4.5,ID,1601172721
Haines Junction,60.75,-137.51,46.27,74,75,6.08,CA,1601172721
Kos,36.89,27.29,73.4,83,2,1.12,GR,1601172721
Lumphat,13.49,106.98,80.44,87,100,2.13,KH,1601172721
Arona,28.1,-16.68,73.4,69,20,16.11,ES,1601172721
Clyde River,70.47,-68.59,26.6,92,90,9.17,CA,1601172722
Nara,34.69,135.8,77.0,60,75,11.41,JP,1601172722
Salinas,36.68,-121.66,73.4,53,1,11.41,US,1601172722
Tacuatí,-23.45,-56.58,86.09,29,0,5.12,PY,1601172722
Flinders,-34.58,150.86,64.0,56,42,8.01,AU,1601172545
Machalí,-34.18,-70.67,48.31,61,0,2.24,CL,1601172723
Arrondissement de Bourg-en-Bresse,46.17,5.17,45.0,90,100,3.0,FR,1601172723
Port Elizabeth,-33.92,25.57,48.2,76,20,8.05,ZA,1601172724
Arraial do Cabo,-22.97,-42.03,72.95,87,0,21.72,BR,1601172724
Ust'-Omchug,61.15,149.63,49.05,46,0,7.27,RU,1601172724
Bethel,41.37,-73.41,66.2,93,75,5.82,US,1601172724
Lagoa,39.05,-27.98,69.44,85,1,14.03,PT,1601172724
Tura,25.52,90.22,75.7,97,100,5.73,IN,1601172725
Kodinsk,58.69,99.18,42.3,86,71,6.08,RU,1601172725
Kedrovyy,56.17,91.82,42.8,93,75,4.47,RU,1601172725
São Francisco,-15.95,-44.86,73.94,31,0,3.89,BR,1601172725
Anloga,5.79,0.9,73.4,94,20,3.36,GH,1601172521
Tauramena,5.02,-72.75,71.51,84,17,4.18,CO,1601172726
Kapit,2.02,112.93,87.12,59,100,2.1,MY,1601172603
Chernoistochinsk,57.74,59.87,42.89,92,0,4.72,RU,1601172726
Aberdeen,57.14,-2.1,46.4,75,90,11.41,GB,1601172727
Malanje,-9.54,16.34,64.63,81,0,6.73,AO,1601172727
Torbay,47.67,-52.73,54.0,76,75,19.46,CA,1601172727
Kununurra,-15.77,128.73,89.6,52,40,8.05,AU,1601172727
Kayalpattinam,8.57,78.12,80.6,78,20,4.7,IN,1601172727
Chālūs,36.66,51.42,73.4,88,90,2.24,IR,1601172728
Portland,45.52,-122.68,66.0,71,40,6.64,US,1601172514
Leningradskiy,69.38,178.42,33.55,93,100,8.9,RU,1601172728
Comodoro Rivadavia,-45.87,-67.5,62.6,39,0,17.22,AR,1601172728
Staritsa,56.51,34.94,53.42,78,100,6.71,RU,1601172729
Chalon-sur-Saône,46.78,4.85,48.2,81,90,13.87,FR,1601172729
Lüderitz,-26.65,15.16,52.48,68,0,21.45,NA,1601172570
Rome,43.21,-75.46,68.0,77,75,4.7,US,1601172567
Husavik,66.04,-17.34,51.8,62,40,9.17,IS,1601172729
Sovkhoznyy,45.29,38.11,64.4,82,20,6.71,RU,1601172730
Portsmouth,50.8,-1.09,53.01,68,3,1.01,GB,1601172730
Narsaq,60.92,-46.05,37.4,51,0,9.17,GL,1601172730
Siderno,38.28,16.3,70.0,77,75,2.24,IT,1601172731
Thompson,55.74,-97.86,48.2,87,75,6.93,CA,1601172731
Hermitage,41.23,-80.45,69.01,72,75,5.82,US,1601172731
Nome,64.5,-165.41,42.8,41,20,9.17,US,1601172731
Kotelnikowo,47.63,43.15,54.88,45,46,16.44,RU,1601172731
Sitka,57.05,-135.33,55.4,76,75,6.93,US,1601172732
Kudahuvadhoo,2.67,72.89,83.08,70,99,7.7,MV,1601172732
Tselinnoye,53.08,85.67,40.82,89,15,3.09,RU,1601172732
Shīeli,44.17,66.75,48.63,51,0,19.13,KZ,1601172732
Mahon,39.89,4.27,71.6,60,71,25.28,ES,1601172733
Poronaysk,49.22,143.12,54.12,66,100,11.39,RU,1601172733
Nyköping,58.75,17.01,57.2,100,90,9.17,SE,1601172733
Hambantota,6.12,81.12,77.0,100,20,4.7,LK,1601172733
Lakshettipet,18.87,79.22,76.53,88,100,6.55,IN,1601172734
Panzhihua,26.59,101.71,66.99,80,98,0.29,CN,1601172734
Svetlaya,46.54,138.33,56.73,72,98,16.49,RU,1601172734
San Roque,36.21,-5.38,69.8,64,0,12.75,ES,1601172734
Simga,21.63,81.7,78.8,94,20,6.93,IN,1601172692
Laas,46.62,10.7,37.99,65,40,3.36,IT,1601172617
Burnie,-41.07,145.92,57.99,55,5,18.99,AU,1601172735
Salinópolis,-0.61,-47.36,79.03,80,100,12.37,BR,1601172735
Cam Ranh,11.92,109.16,78.8,94,75,2.24,VN,1601172631
Bairiki Village,1.33,172.98,87.8,62,40,9.17,KI,1601172736
Aksarka,66.56,67.8,45.16,89,32,9.26,RU,1601172736
Xining,36.62,101.77,56.53,60,100,1.59,CN,1601172490
Madang,-5.22,145.8,84.81,72,100,3.91,PG,1601172736
Ouésso,1.61,16.05,70.72,94,100,3.27,CG,1601172737
Provincia di Taranto,40.62,17.25,61.0,71,40,8.05,IT,1601172737
Tonantins,-2.87,-67.8,74.07,83,0,1.63,BR,1601172737
Dukat,62.55,155.55,46.29,53,0,8.63,RU,1601172737
Fayaoué,-20.65,166.53,76.14,78,0,3.2,NC,1601172737
Saint Anthony,45.02,-93.22,63.0,87,90,10.29,US,1601172738
Klaksvík,62.23,-6.59,44.6,87,100,9.17,FO,1601172738
Mitsamiouli,-11.38,43.28,76.39,79,47,14.47,KM,1601172738
Katsuura,35.13,140.3,70.0,82,100,1.99,JP,1601172696
Deputatsky,69.3,139.9,44.17,60,86,7.05,RU,1601172739
Noumea,-22.28,166.46,80.6,65,90,3.36,NC,1601172541
Makurdi,7.74,8.51,71.83,97,100,1.88,NG,1601172739
Emba,48.83,58.14,44.37,59,0,8.84,KZ,1601172739
Springdale,36.19,-94.13,69.8,83,1,5.82,US,1601172739
Charters Towers,-20.1,146.27,85.44,25,0,4.97,AU,1601172740
Tubualá,9.52,-79.03,78.01,94,75,2.24,PA,1601172740
Kismayo,-0.36,42.55,77.41,83,79,8.7,SO,1601172740
Salamiyah,35.01,37.05,62.62,86,0,4.63,SY,1601172740
Liverpool,53.41,-2.98,48.2,70,0,17.22,GB,1601172740
Port Lincoln,-34.73,135.87,55.98,65,0,15.99,AU,1601172741
Airai,-8.93,125.41,78.22,38,65,5.95,TL,1601172741
Tilichiki,60.47,166.1,41.72,60,0,2.1,RU,1601172741
Nizwá,22.93,57.53,76.23,41,0,0.67,OM,1601172741
Karratha,-20.74,116.85,84.43,19,0,0.76,AU,1601172742
Saryozek,44.36,77.98,44.37,54,100,0.76,KZ,1601172742
Kiama,-34.68,150.87,64.0,56,41,8.01,AU,1601172742
Alto Piquiri,-24.03,-53.44,76.57,42,0,7.56,BR,1601172742
Solnechnyy,50.72,136.63,59.22,61,0,5.88,RU,1601172742
Zhicheng,30.3,111.5,73.99,80,97,2.73,CN,1601172743
Haysville,37.56,-97.35,80.6,47,0,16.11,US,1601172743
Sampit,-2.53,112.95,84.38,73,91,0.58,ID,1601172743
Siguiri,11.67,-9.5,72.64,86,88,0.43,GN,1601172743
Mnogovershinnyy,53.94,139.92,53.98,75,38,4.83,RU,1601172743
Raudeberg,61.99,5.14,46.99,85,0,10.67,NO,1601172744
Broome,42.25,-75.83,64.99,93,90,6.93,US,1601172744
Camaná,-16.62,-72.71,60.15,76,21,7.34,PE,1601172744
Marsaxlokk,35.84,14.54,69.01,63,20,3.36,MT,1601172744
São João da Barra,-21.64,-41.05,73.67,87,0,17.85,BR,1601172745
Alofi,-19.06,-169.92,77.0,73,53,18.34,NU,1601172745
Ensley,30.52,-87.27,79.0,83,1,6.93,US,1601172745
Hofn,64.25,-15.21,48.78,96,100,7.14,IS,1601172745
Saint-Joseph,-21.37,55.62,66.2,59,17,6.93,RE,1601172745
Verkh-Chebula,56.03,87.62,41.97,90,100,5.77,RU,1601172746
Hobyo,5.35,48.53,76.96,85,95,20.85,SO,1601172746
Casas Grandes,30.37,-107.95,75.99,28,12,9.44,MX,1601172746
Vardø,70.37,31.11,41.85,67,8,12.1,NO,1601172746
Port Macquarie,-31.43,152.92,70.0,23,0,1.01,AU,1601172459
Mandera,3.94,41.87,76.87,61,0,10.0,KE,1601172747
Los Llanos de Aridane,28.66,-17.92,75.2,73,90,17.22,ES,1601172747
Along,28.17,94.77,72.32,90,100,0.67,IN,1601172747
Ōfunato,39.07,141.72,60.8,93,75,2.24,JP,1601172748
High Level,58.52,-117.14,48.2,100,75,3.36,CA,1601172748
Tiarei,-17.53,-149.33,84.2,70,20,11.41,PF,1601172748
Brocēni,56.7,22.53,57.78,78,22,11.5,LV,1601172748
Brædstrup,55.97,9.61,60.01,93,100,14.99,DK,1601172749
Samarai,-10.62,150.67,79.52,87,67,16.82,PG,1601172749
George Town,5.41,100.34,80.6,78,40,5.82,MY,1601172611
Lima,-12.04,-77.03,61.0,82,40,10.29,PE,1601172561
Khromtau,50.25,58.43,40.46,68,0,5.14,KZ,1601172751
Vila Velha,-20.33,-40.29,77.0,83,0,11.41,BR,1601172751
Gunjur,13.2,-16.73,73.4,100,40,8.86,GM,1601172751
Sokoto,13.06,5.24,79.21,71,100,8.34,NG,1601172751
Pāvilosta,56.89,21.19,60.8,82,47,9.17,LV,1601172752
Palauig,15.44,119.9,86.32,63,73,4.72,PH,1601172752
Newberry,34.27,-81.62,62.01,100,1,3.36,US,1601172752
Simplício Mendes,-7.85,-41.91,77.07,50,96,5.12,BR,1601172752
Yakeshi,49.28,120.73,55.94,67,28,12.33,CN,1601172753
Saint-Pierre,-21.34,55.48,66.2,59,0,6.93,RE,1601172753
Shūshtar,32.05,48.86,78.26,22,0,2.06,IR,1601172753
Romitan,39.93,64.38,48.2,46,0,9.17,UZ,1601172753
São Filipe,14.9,-24.5,81.1,83,55,9.71,CV,1601172753
Yozgat Province,39.58,35.33,59.79,49,0,3.47,TR,1601172754
Keti Bandar,24.14,67.45,81.5,77,25,15.88,PK,1601172754
Pitsunda,43.16,40.34,66.2,72,0,2.24,GE,1601172754
Eastlake,41.65,-81.45,71.6,64,1,3.36,US,1601172755
Jaicós,-7.36,-41.14,77.13,50,56,4.36,BR,1601172755
Sørland,67.67,12.69,44.15,70,2,13.96,NO,1601172755
Urusha,54.05,122.9,50.14,69,0,11.34,RU,1601172756
Zhoucheng,35.91,116.31,78.01,1,39,6.11,CN,1601172756
Karachi,24.91,67.08,80.6,74,40,10.29,PK,1601172756
Riyadh,24.69,46.72,77.0,33,0,2.08,SA,1601172664
Kiryat Gat,31.61,34.76,75.0,75,0,6.73,IL,1601172757
San Patricio,19.22,-104.7,84.2,79,40,1.77,MX,1601172757
Kangaatsiaq,68.31,-53.46,35.85,83,100,19.28,GL,1601172757
Nzérékoré,7.76,-8.82,69.24,98,99,2.37,GN,1601172757
Zarubino,42.63,131.09,62.51,60,0,2.84,RU,1601172758
Dharmābād,18.9,77.85,73.94,90,97,7.45,IN,1601172758
Palamás,39.47,22.08,53.6,81,20,4.7,GR,1601172758
Yelanskiy,56.84,62.5,44.04,93,0,4.97,RU,1601172758
Mahina,-17.51,-149.49,84.2,70,20,11.41,PF,1601172759
Yuli,9.7,10.27,71.96,88,99,3.42,NG,1601172759
Cornwall,45.02,-74.73,60.8,87,1,7.72,CA,1601172759
Koundara,12.48,-13.3,73.17,95,100,4.65,GN,1601172759
Ust-Tsilma,65.44,52.15,50.56,94,99,6.53,RU,1601172760
Nouadhibou,20.93,-17.03,84.72,50,2,21.36,MR,1601172760
